GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
yoga-app,com.openclassrooms.starterjwt.security.services,UserDetailsServiceImpl,39,6,0,0,10,3,2,1,2,1
yoga-app,com.openclassrooms.starterjwt.security.services,UserDetailsImpl,78,0,6,0,19,0,17,0,14,0
yoga-app,com.openclassrooms.starterjwt.security.services,UserDetailsImpl.UserDetailsImplBuilder,86,0,0,0,1,0,9,0,9,0
yoga-app,com.openclassrooms.starterjwt.payload.response,JwtResponse,73,0,0,0,16,0,15,0,15,0
yoga-app,com.openclassrooms.starterjwt.payload.response,MessageResponse,13,0,0,0,6,0,3,0,3,0
yoga-app,com.openclassrooms.starterjwt.services,SessionService,13,141,2,10,3,27,2,15,0,11
yoga-app,com.openclassrooms.starterjwt.services,UserService,0,19,0,0,0,6,0,3,0,3
yoga-app,com.openclassrooms.starterjwt.services,TeacherService,0,18,0,0,0,5,0,3,0,3
yoga-app,com.openclassrooms.starterjwt.dto,SessionDto,411,0,70,0,11,0,57,0,22,0
yoga-app,com.openclassrooms.starterjwt.dto,UserDto,440,0,78,0,11,0,61,0,22,0
yoga-app,com.openclassrooms.starterjwt.dto,TeacherDto,273,0,46,0,8,0,39,0,16,0
yoga-app,com.openclassrooms.starterjwt.security,WebSecurityConfig,0,71,0,0,0,14,0,6,0,6
yoga-app,com.openclassrooms.starterjwt.security.jwt,AuthTokenFilter,69,7,8,0,17,2,6,2,2,2
yoga-app,com.openclassrooms.starterjwt.security.jwt,AuthEntryPointJwt,48,7,0,0,11,2,1,2,1,2
yoga-app,com.openclassrooms.starterjwt.security.jwt,JwtUtils,85,7,0,0,22,2,3,2,3,2
yoga-app,com.openclassrooms.starterjwt.models,User.UserBuilder,138,0,8,0,1,0,15,0,11,0
yoga-app,com.openclassrooms.starterjwt.models,Teacher.TeacherBuilder,32,42,0,0,0,1,1,7,1,7
yoga-app,com.openclassrooms.starterjwt.models,Session.SessionBuilder,110,0,0,0,1,0,11,0,11,0
yoga-app,com.openclassrooms.starterjwt.models,User,280,28,36,2,11,4,37,6,18,6
yoga-app,com.openclassrooms.starterjwt.models,Session,187,19,14,0,10,4,25,5,18,5
yoga-app,com.openclassrooms.starterjwt.models,Teacher,124,34,14,0,5,6,18,6,11,6
yoga-app,com.openclassrooms.starterjwt.exception,NotFoundException,0,3,0,0,0,1,0,1,0,1
yoga-app,com.openclassrooms.starterjwt.exception,BadRequestException,0,3,0,0,0,1,0,1,0,1
yoga-app,com.openclassrooms.starterjwt.controllers,UserController,62,9,6,0,16,4,5,1,2,1
yoga-app,com.openclassrooms.starterjwt.controllers,TeacherController,34,9,2,0,8,4,3,1,2,1
yoga-app,com.openclassrooms.starterjwt.controllers,SessionController,132,13,4,0,31,5,9,2,7,2
yoga-app,com.openclassrooms.starterjwt.controllers,AuthController,96,15,4,0,25,6,4,1,2,1
yoga-app,com.openclassrooms.starterjwt.payload.request,SignupRequest,212,0,38,0,5,0,32,0,13,0
yoga-app,com.openclassrooms.starterjwt.payload.request,LoginRequest,17,0,0,0,7,0,5,0,5,0
yoga-app,com.openclassrooms.starterjwt.mapper,SessionMapperImpl,213,3,22,0,47,1,18,1,7,1
yoga-app,com.openclassrooms.starterjwt.mapper,TeacherMapperImpl,122,3,12,0,32,1,10,1,4,1
yoga-app,com.openclassrooms.starterjwt.mapper,SessionMapper,0,3,0,0,0,1,0,1,0,1
yoga-app,com.openclassrooms.starterjwt.mapper,UserMapperImpl,149,3,12,0,38,1,10,1,4,1
yoga-app,com.openclassrooms.starterjwt,SpringBootSecurityJwtApplication,5,3,0,0,2,1,1,1,1,1
